DECIMAL    BINARY         HEXDECIMAL         BCD
0          0000 0000      00                 0000 0000 0000
1          0000 0001      01                 0000 0000 0001
2          0000 0010      02                 0000 0000 0010
3          0000 0011      03                 0000 0000 0011
4          0000 0100      04                 0000 0000 0100
5          0000 0101      05                 0000 0000 0101
6          0000 0110      06                 0000 0000 0110
7          0000 0111      07                 0000 0000 0111
8          0000 1000      08                 0000 0000 1000
9          0000 1001      09                 0000 0000 1001
10         0000 1010      0A                 0000 0001 0000
11         0000 1011      0B                 0000 0001 0001
12         0000 1100      0C                 0000 0001 0010
13         0000 1101      0D                 0000 0001 0011
14         0000 1110      0E                 0000 0001 0100
15         0000 1111      0F                 0000 0001 0101
16         0001 0000      10                 0000 0001 0110
17         0001 0001      11                 0000 0001 0111
18         0001 0010      12                 0000 0001 1000
19         0001 0011      13                 0000 0001 1001
20         0001 0100      14                 0000 0010 0000
21         0001 0101      15                 0000 0010 0001
22         0001 0110      16                 0000 0010 0010
23         0001 0111      17                 0000 0010 0011
24         0001 1000      18                 0000 0010 0100
25         0001 1001      19                 0000 0010 0101
26         0001 1010      1A                 0000 0010 0110
27         0001 1011      1B                 0000 0010 0111
28         0001 1100      1C                 0000 0010 1000
29         0001 1101      1D                 0000 0010 1001
30         0001 1110      1E                 0000 0011 0000
31         0001 1111      1F                 0000 0011 0001
32         0010 0000      20                 0000 0011 0010
33         0010 0001      21                 0000 0011 0011
34         0010 0010      22                 0000 0011 0100
35         0010 0011      23                 0000 0011 0101
36         0010 0100      24                 0000 0011 0110
37         0010 0101      25                 0000 0011 0111
38         0010 0110      26                 0000 0011 1000
39         0010 0111      27                 0000 0011 1001
40         0010 1000      28                 0000 0100 0000
41         0010 1001      29                 0000 0100 0001
42         0010 1010      2A                 0000 0100 0010
43         0010 1011      2B                 0000 0100 0011
44         0010 1100      2C                 0000 0100 0100
45         0010 1101      2D                 0000 0100 0101
46         0010 1110      2E                 0000 0100 0110
47         0010 1111      2F                 0000 0100 0111
48         0011 0000      30                 0000 0100 1000
49         0011 0001      31                 0000 0100 1001
50         0011 0010      32                 0000 0101 0000
51         0011 0011      33                 0000 0101 0001
52         0011 0100      34                 0000 0101 0010
53         0011 0101      35                 0000 0101 0011
54         0011 0110      36                 0000 0101 0100
55         0011 0111      37                 0000 0101 0101
56         0011 1000      38                 0000 0101 0110
57         0011 1001      39                 0000 0101 0111
58         0011 1010      3A                 0000 0101 1000
59         0011 1011      3B                 0000 0101 1001
60         0011 1100      3C                 0000 0110 0000
61         0011 1101      3D                 0000 0110 0001
62         0011 1110      3E                 0000 0110 0010
63         0011 1111      3F                 0000 0110 0011
64         0100 0000      40                 0000 0110 0100
65         0100 0001      41                 0000 0110 0101
66         0100 0010      42                 0000 0110 0110
67         0100 0011      43                 0000 0110 0111
68         0100 0100      44                 0000 0110 1000
69         0100 0101      45                 0000 0110 1001
70         0100 0110      46                 0000 0111 0000
71         0100 0111      47                 0000 0111 0001
72         0100 1000      48                 0000 0111 0010
73         0100 1001      49                 0000 0111 0011
