
Tracing route to veeramhirekhan.github.io [185.199.110.153]
over a maximum of 30 hops:

  1     1 ms     1 ms     1 ms  192.168.1.1 
  2     9 ms     9 ms    11 ms  d4-50-1-104.nap.wideopenwest.com [50.4.104.1] 
  3    14 ms     9 ms    18 ms  dynamic-76-73-171-177.knology.net [76.73.171.177] 
  4    10 ms    15 ms     9 ms  dynamic-75-76-35-3.knology.net [75.76.35.3] 
  5    15 ms    15 ms    16 ms  dynamic-75-76-35-51.knology.net [75.76.35.51] 
  6    16 ms    15 ms    14 ms  dynamic-75-76-35-10.knology.net [75.76.35.10] 
  7    15 ms    15 ms    15 ms  dynamic-75-76-35-6.knology.net [75.76.35.6] 
  8     *        *        *     Request timed out.
  9    15 ms    15 ms    18 ms  185.199.110.153 

Trace complete.
