
Tracing route to fanjoy.co [23.227.38.32]
over a maximum of 30 hops:

  1     1 ms     2 ms     7 ms  192.168.1.1 
  2    10 ms    10 ms     9 ms  d4-50-1-104.nap.wideopenwest.com [50.4.104.1] 
  3    10 ms    12 ms    11 ms  dynamic-76-73-171-177.knology.net [76.73.171.177] 
  4     9 ms     9 ms     9 ms  dynamic-75-76-35-3.knology.net [75.76.35.3] 
  5    17 ms    34 ms    15 ms  dynamic-75-76-35-51.knology.net [75.76.35.51] 
  6    21 ms    15 ms    15 ms  dynamic-75-76-35-8.knology.net [75.76.35.8] 
  7    16 ms    40 ms    15 ms  ae-46.a01.chcgil09.us.bb.gin.ntt.net [129.250.195.141] 
  8    17 ms    29 ms    17 ms  ae-0.shopify.chcgil09.us.bb.gin.ntt.net [128.241.219.222] 
  9    18 ms    32 ms    15 ms  23.227.38.32 

Trace complete.
