
Tracing route to expo.io [35.202.142.166]
over a maximum of 30 hops:

  1     2 ms     1 ms     1 ms  192.168.1.1 
  2     9 ms    10 ms     9 ms  d4-50-1-104.nap.wideopenwest.com [50.4.104.1] 
  3    10 ms    10 ms    10 ms  dynamic-76-73-171-177.knology.net [76.73.171.177] 
  4    12 ms    10 ms     9 ms  dynamic-75-76-35-3.knology.net [75.76.35.3] 
  5    26 ms    26 ms    23 ms  76-73-165-86.knology.net [76.73.165.86] 
  6    23 ms    25 ms    35 ms  dynamic-75-76-35-13.knology.net [75.76.35.13] 
  7    25 ms    23 ms    23 ms  eqixva-google-gige.google.com [206.126.236.21] 
  8    23 ms    29 ms    23 ms  108.170.246.34 
  9    26 ms    25 ms    24 ms  216.239.63.235 
 10    27 ms    29 ms    28 ms  209.85.253.248 
 11    38 ms    37 ms    37 ms  72.14.232.70 
 12    38 ms    52 ms    37 ms  209.85.249.205 
 13    55 ms    37 ms    36 ms  216.239.58.193 
 14     *        *        *     Request timed out.
 15     *        *        *     Request timed out.
 16     *        *        *     Request timed out.
 17     *        *        *     Request timed out.
 18     *        *        *     Request timed out.
 19     *        *        *     Request timed out.
 20     *        *        *     Request timed out.
 21     *        *        *     Request timed out.
 22     *        *        *     Request timed out.
 23    36 ms    37 ms    37 ms  166.142.202.35.bc.googleusercontent.com [35.202.142.166] 

Trace complete.
